Keys,Русский
popup_reset_warn,Are you sure you want to reset to default? The game will be restarted!
popup_reseting,Reseting the configurations...
popup_apply_changes_warn,Are you sure you want to apply the changes?
popup_changing,Applying the changes...
cred_menu_credits,Credits
cred_menu_developed,Developed by
cred_menu_ravi,Ravi de Santana 'RKS'
cred_menu_musics,Musics by
cred_menu_fl,Freak Luke
term_version,Version {0}
term_cancel,Cancel
term_hold,Hold
term_press,Press
term_confirm,Confirm
term_ok,OK
term_no,No
term_yes,Yes
term_void,Empty
term_on,On
term_off,Off
term_enabled,Enabled
term_disabled,Disabled
term_locked,Locked
term_go_back,Go back
term_leave,Leave
term_type_a,Type A
term_type_b,Type B
term_type_c,Type C
term_nothing,Nothing
term_you_died,YOU DIED
term_ct_restored,CINDER TOTEM RESTORED
term_enemy_exterminated,ENEMY EXTERMINATED
term_leader_defeated,LEADER DEFEATED
term_king_slain,KING SLAIN
term_condition,Condition
term_legion,Legion
term_hp,HP
term_mp,MP
term_blessing,Blessing
term_def,Damage negation
term_level,Level
term_blood_hld,Blood held
term_blood_ndd,Blood needed
term_blood_required,Blood required
term_blood_received,Blood received
term_atk_power,Attack power
term_special_armament,Special {0}
term_heavy_infusion_a,Heavy {0}
term_heavy_infusion_b,Heavy {0}
term_heavy_infusion_c,Heavy {0}
term_heavy_infusion_d,Heavy {0}
term_sharp_infusion_a,Sharp {0}
term_sharp_infusion_b,Sharp {0}
term_sharp_infusion_c,Sharp {0}
term_sharp_infusion_d,Sharp {0}
term_quality_infusion_a,Quality {0}
term_quality_infusion_b,Quality {0}
term_quality_infusion_c,Quality {0}
term_quality_infusion_d,Quality {0}
term_brute_infusion_a,Brute {0}
term_brute_infusion_b,Brute {0}
term_brute_infusion_c,Brute {0}
term_brute_infusion_d,Brute {0}
term_pyromantic_infusion_a,Pyromantic {0}
term_pyromantic_infusion_b,Pyromantic {0}
term_pyromantic_infusion_c,Pyromantic {0}
term_pyromantic_infusion_d,Pyromantic {0}
term_flaming_infusion_a,Flaming {0}
term_flaming_infusion_b,Flaming {0}
term_flaming_infusion_c,Flaming {0}
term_flaming_infusion_d,Flaming {0}
term_freezing_infusion_a,Freezing {0}
term_freezing_infusion_b,Freezing {0}
term_freezing_infusion_c,Freezing {0}
term_freezing_infusion_d,Freezing {0}
term_electric_infusion_a,Electric {0}
term_electric_infusion_b,Electric {0}
term_electric_infusion_c,Electric {0}
term_electric_infusion_d,Electric {0}
term_poisonous_infusion_a,Poisonous {0}
term_poisonous_infusion_b,Poisonous {0}
term_poisonous_infusion_c,Poisonous {0}
term_poisonous_infusion_d,Poisonous {0}
term_bloody_infusion_a,Bloody {0}
term_bloody_infusion_b,Bloody {0}
term_bloody_infusion_c,Bloody {0}
term_bloody_infusion_d,Bloody {0}
term_darkness_infusion_a,Darkness {0}
term_darkness_infusion_b,Darkness {0}
term_darkness_infusion_c,Darkness {0}
term_darkness_infusion_d,Darkness {0}
term_number,No.
term_conclusion,Conclusion
term_base_power,Base power
term_use,Use
term_equip,Equip
term_discard,Discard
term_tdefeat,Times defeated
term_no_magics,You don't have any magic...
term_no_items,You don't have any item from this group...
term_shop_no_items,This merchant doesn't have any item from this group...
term_pick_up,Take
term_lit,Restore
term_rest,Rest
term_talk,Talk
term_investigate,Investigate
term_change_equip,Change equipment
term_class,Class
term_manor_court,Manor courtesy
term_kind,Kind
term_unknown,Unknown
term_value,Value
term_held,Held
term_stored,Stored
term_cannot_sold,This item cannot be sold
term_description,Description
term_skip,Skip
term_effects,Effects
term_immune,Imm.
term_limit_reached,You can't store more quantities of {0}.
menu_info_title,Character info
menu_equi_title,Equipment
menu_inv_title,Inventory
menu_knw_title,Bestiary
menu_map_title,Map
menu_shop_title,Shop of items
menu_shop_purchase,Purchase
menu_shop_sell,Sell
menu_class_title,Class definition
menu_info_descri,Look your stats
menu_equi_descri,Change your equipament
menu_inv_descri,Look and use your items
menu_knw_descri,Monsters' description
menu_map_descri,Look your location
menu_shop_descri_purchase,Purchase items from the merchant
menu_shop_descri_sell,Sell items to the mercant
menu_class_descri,Choose your initial equipment
menu_equi_ana,Armor and rings
menu_equi_wng,Weapon and gems
menu_equi_bag,Bag
menu_ce,You haven't the necessary attributes to use this weapon properly. Your attacks will be weakened.
menu_inv_bda,Attribute bonus & requirement
menu_inv_dis_warn,Discard this item?
menu_shop_purchase_many,Purchase how many?
menu_shop_sell_many,Sell how many?
menu_class_items,Class items
menu_class_status,Class status
menu_class_appearance,This is the class armor appearance
group_tools,Tools
group_materials,Materials
group_keys,Key items
group_accessories,Accessories
group_armors,Armors
group_weapons,Weapons
group_gems,Gems
group_magics,Magics
group_rings,Rings
group_knowledges,Knowledges
box_general,General
box_power,Power
box_equipment,Equipment
attr_str,Strength
attr_dex,Dexterity
attr_imp,Impetus
attr_vit,Vitality
attr_res,Resistance
attr_lck,Luck
elm_phys,Physical
elm_pyro,Pyromantic
elm_fire,Fire
elm_ice,Freezing
elm_elec,Electricity
elm_psn,Poison
elm_ble,Bleeding
elm_dar,Darkness
elm_phys_abbr,Phys.
elm_pyro_abbr,Pyro.
elm_fire_abbr,Fir.
elm_ice_abbr,Frz.
elm_elec_abbr,Elec.
elm_psn_abbr,Pois.
elm_ble_abbr,Bld.
elm_dar_abbr,Drk.
atk_phys,Pyshical ATK
atk_pyro,Pyromantic ATK
atk_fire,Flaming ATK.
atk_ice,Freezing ATK
atk_elec,Eletrical ATK
atk_psn,Poisonous ATK
atk_ble,Bloody ATK
atk_dar,Dark ATK
def_phys,Physical DEF
def_pyro,Pyromantic DEF
def_fire,Flaming DEF
def_ice,Freezing DEF
def_elec,Eletrical DEF
def_psn,Poisonous DEF
def_ble,Bloody DEF
def_dar,Dark DEF
legion_000,Dungeon Convicts
legion_001,Conformists of the Entity
legion_002,Darkness Congregation
legion_003,Draconic Myth
pause_cont,Continue
pause_desk,Exit to desktop
pause_main,Exit to main menu
ct_inventory,Inventory
ct_lit,CINDER TOTEM LIT
ct_lu,Level up
ct_mm,Memorize magics
ct_skills,Skills
ct_dc,Demon Chalice
ct_storage,Storage
ct_travel,Travel
ct_wisdom,Wisdom
ct_lu_confirm_one,Spend {0} blood and up {1} level?
ct_lu_confirm_two,Spend {0} blood and up {1} levels?
ct_lu_confirm_few,Spend {0} blood and up {1} levels?
ct_lu_confirm_many,Spend {0} blood and up {1} levels?
ct_lu_confirm_other,Spend {0} blood and up {1} levels?
ct_dc_allot,Allot Chalices
ct_dc_charge,Add charges
ct_dc_force,Increase force
ct_hp_tv,Travel to Voyager's Manor
ct_dc_grant_charge_one,Grant {0} Clerical Bone to increase your demon chalice charges?
ct_dc_grant_charge_two,Grant {0} Clerical Bones to increase your demon chalice charges?
ct_dc_grant_charge_few,Grant {0} Clerical Bones to increase your demon chalice charges?
ct_dc_grant_charge_many,Grant {0} Clerical Bones to increase your demon chalice charges?
ct_dc_grant_charge_other,Grant {0} Clerical Bones to increase your demon chalice charges?
ct_dc_grant_charge_no_items,You don't have any Clerical Bones.
ct_dc_grant_force,Grant 1 Blood Orb to increase the amount of HP/MP recovered by your Demon Chalice?
ct_dc_grant_force_no_items,You don't have any Blood Orbs.
ct_dc_grant_force_max,The amount of PV/MP recovered by your Demon Chalice can't be increased any futher.
ct_mm_es,Empty slot
ct_mm_kind,Kind
ct_mm_mc,MP cost
ct_mm_ce,You haven't the necessary attributes to equip this magic.
ct_tv_travel,Travel to selected Cinder Totem?
ct_tv_vm,Travel to Voyager's Manor?
ct_tv_yah,You are in this Cinder Totem
ct_area_000,Forgotten Sparks
ct_area_001,Souls Dungeon
ct_area_002,Core Forge
ct_area_003,King's Domain
ct_name_100,Voyagers' Manor
tool_kind_00,Consumable
tool_kind_01,Throwable
weapon_kind_00,Dagger
weapon_kind_01,Double dagger
weapon_kind_02,Straight sword
weapon_kind_03,Double straight sword
weapon_kind_04,Greatsword
weapon_kind_05,Curved sword
weapon_kind_06,Curved double sword
weapon_kind_07,Curved greatsword
weapon_kind_08,Katana
weapon_kind_09,Double katana
weapon_kind_10,Axe
weapon_kind_11,Double axe
weapon_kind_12,Hammer
weapon_kind_13,Double hammer
weapon_kind_14,Great hammer
weapon_kind_15,Spear
weapon_kind_16,Halberd
weapon_kind_17,Scythe
weapon_kind_18,Colossal weapon
weapon_kind_19,Whip
weapon_kind_20,Fists
weapon_kind_21,Claws
weapon_kind_22,Double weapon
weapon_kind_23,Exotic Weapon
weapon_kind_24,Staff
weapon_kind_25,Talisman
weapon_kind_26,Bow
weapon_kind_27,Gun
weapon_kind_28,Heavy Gun
weapon_kind_29,Shield
weapon_kind_30,Great Shield
magic_kind_00,Attack
magic_kind_01,Support
tool_name_000,Demon Chalice
tool_name_001,Clerical Demon Chalice
tool_name_002_010,Bloody Demon Shard
tool_name_011,Pyromantic Pot
tool_name_012,Gunpowder Pot
tool_name_013,Freezing Pot
tool_name_014,Electric Pot
tool_name_015,Poisonous Pot
tool_name_016,Bleeding Pot
tool_name_017,Viscous Pot
tool_name_018,Pyromantic Papyrus
tool_name_019,Flaming Papyrus
tool_name_020,Freezing Papyrus
tool_name_021,Electric Papyrus
tool_name_022,Poisonous Papyrus
tool_name_023,Bleeding Papyrus
tool_name_024,Viscous Papyrus
tool_name_025,Hot Water Gourd
tool_name_026,Cold Water Gourd
tool_name_027,Cursed Herbs Jug
tool_name_028,Refreshing Herbs Jug
tool_name_029,Smoking Herbs Jug
tool_name_030,Dissipating Herbs Jug
tool_name_031,Purifying Herbs Jug
tool_name_032,Coagulating Herbs Jug
tool_name_033,Radiant Herbs Jug
tool_name_034,Divinity Bloodstained Miniature
tool_name_035,Divinity Shiny Miniature
tool_name_036,Worn Vase
tool_name_037,Noble Vase
tool_desc_000,A chalice containing the blood of a Demon Cleric.[n][n]Recovers a certain amount of HP.
tool_desc_001,A chalice containing the blood of a Demon Cleric baptized with human magic.[n][n]Recovers a certain amount of MP.
tool_desc_002_010,Gives {0} blood.
tool_desc_011,
tool_desc_012,A pot that can be thrown at things or enemies.[n][n]Cause fire damage.
tool_desc_013,
tool_desc_014,
tool_desc_015,
tool_desc_016,
tool_desc_017,
tool_desc_018,Imbues the current weapon with pyromantic damage.
tool_desc_019,
tool_desc_020,
tool_desc_021,
tool_desc_022,
tool_desc_023,
tool_desc_024,
tool_desc_025,
tool_desc_026,
tool_desc_027,
tool_desc_028,
tool_desc_029,
tool_desc_030,
tool_desc_031,
tool_desc_032,
tool_desc_033,
tool_desc_034,
tool_desc_035,
tool_desc_036,
tool_desc_037,
tool_inspec_000,
tool_inspec_001,
tool_inspec_002_010,
tool_inspec_011,
tool_inspec_012,
tool_inspec_013,
tool_inspec_014,
tool_inspec_015,
tool_inspec_016,
tool_inspec_017,
tool_inspec_018,
tool_inspec_019,
tool_inspec_020,
tool_inspec_021,
tool_inspec_022,
tool_inspec_023,
tool_inspec_024,
tool_inspec_025,
tool_inspec_026,
tool_inspec_027,
tool_inspec_028,
tool_inspec_029,
tool_inspec_030,
tool_inspec_031,
tool_inspec_032,
tool_inspec_033,
tool_inspec_034,
tool_inspec_035,
tool_inspec_036,
tool_inspec_037,
material_name_000,Clerical Bone
material_name_001,Blood Orb
material_name_002,Sun Stone Residue
material_name_003,Sun Stone Shard
material_name_004,Sun Stone Chunk
material_name_005,Sun Stone Slab
material_name_006,Moon Stone Shard
material_name_007,Moon Stone Slab
material_desc_000,Grant this bone to a blacksmith to increase the Demon Chalice charges.
material_desc_001,Grant this orb to a Cinder Totem to increase the force of the Demon Chalice.
material_desc_002,Reinforces weapons until +3.
material_desc_003,Reinforces weapons until +6.
material_desc_004,Reinforces weapons until +9.
material_desc_005,Reinforces weapons to max.
material_desc_006,Reinforces special weapons until +4.
material_desc_007,Reinforces specialweapons to max.
material_inspec_000,"A piece of a Demon Cleric's skull. So powerful that, even though it's constantly flaming, it won't fall apart. A blacksmith can use this bone to forge another charge of Demon Chalice, thanks to a gift that the Demon Sorcerers have given to all blacksmiths in Hell, which makes them able to manipulate the bones of Demon Clerics."
material_inspec_001,"The blood of extinct Demon Clerics, wrapped in an absurdly powerful magical barrier. The only way to give it up is to grant it to a Cinder Totem, a totem created in the First Great Demon War, one of whose objectives was to channel the blood of the Demon Clerics into the medicines and healing spells of the Demon Sorcerers in order to avoid as much deaths as possible."
material_inspec_002,
material_inspec_003,
material_inspec_004,
material_inspec_005,
key_name_000,Demon Wings
key_name_001,Goddess Purple Pendant
key_name_002,Radiant Silver Bracelet
key_name_003,Jails Keys
key_desc_000,
key_desc_001,
key_desc_002,
key_desc_003,
key_inspec_000,
key_inspec_001,
key_inspec_002,
key_inspec_003,
accessory_name_000,Knight Helmet
accessory_name_001,Templar Helmet
accessory_name_002,Profaned Helmet
accessory_name_003,Burned Knight Helmet
accessory_name_004,Dark Herald Helmet
accessory_name_005,Fight Sinner Helmet
accessory_name_006,Northern Helmet
accessory_name_007,Oni Mask
accessory_name_008,Straw Hat
accessory_name_009,Rusty Cage
accessory_name_010,Astrologer Headband
accessory_name_011,Necromancer Orb
accessory_desc_000,
accessory_desc_001,
accessory_desc_002,
accessory_desc_003,
accessory_desc_004,
accessory_desc_005,
accessory_desc_006,
accessory_desc_007,
accessory_desc_008,A straw hat with a ribbon wrapped around it. Gives your attacks greater range.
accessory_desc_009,"A rusty cage made of a red metal. Poison and Bleed apply faster, but greatly reduce damage negation against them."
accessory_desc_010,Simple head accessory. Increases impetus and luck.
accessory_desc_011,A necromance magic orb. Increases the damage and the damage negation of non-physic attacks.
accessory_inspec_000,
accessory_inspec_001,
accessory_inspec_002,
accessory_inspec_003,
accessory_inspec_004,
accessory_inspec_005,
accessory_inspec_006,
accessory_inspec_007,
accessory_inspec_008,A hat inspired by an ancient myth about a man who possessed superhuman powers and had the almost unattainable dream of becoming a king. Somehow that hat is still intact.
accessory_inspec_009,"It was built to trap birds, but one day its purpose changed to not only trap birds, but also something obscure."
accessory_inspec_010,
accessory_inspec_011,
armor_name_000,Knight Armor
armor_name_001,Templar Armor
armor_name_002,Profaned Armor
armor_name_003,Burned Knight Armor
armor_name_004,Dark Herald Armor
armor_name_005,Fight Sinner Armor
armor_name_006,Oni Armor
armor_name_007,Outdated Kimono
armor_name_008,Ronin Kimono
armor_name_009,Northern Chain Mail
armor_name_010,Rogue Robe
armor_name_011,Night Scholar Robe
armor_name_012,Wizard Cloak
armor_name_013,Hermit Clothes
armor_name_014,Convict Clothes
armor_name_015,Leather Shoulder Guard
armor_name_016,Golden Set
armor_desc_000,Armor of an old respectful knight.
armor_desc_001,Armor of an old graced templar.
armor_desc_002,Armor of an old feared profaned.
armor_desc_003,
armor_desc_004,
armor_desc_005,
armor_desc_006,
armor_desc_007,Massaru great-grandfather's ronin clothes.
armor_desc_008,Kimono of an old cunning ronin.
armor_desc_009,Armor of an old bestial northern pilgrim.
armor_desc_010,Robes of an old rogue thief.
armor_desc_011,
armor_desc_012,Cloak of an old wise magician.
armor_desc_013,
armor_desc_014,Clothes of an old chaotic convict.
armor_desc_015,Shoulder pad with a sturdy iron plate. Increases strength and vitality.
armor_desc_016,Golden armor. It was once used by a great underground king.
armor_inspec_000,
armor_inspec_001,
armor_inspec_002,
armor_inspec_003,
armor_inspec_004,
armor_inspec_005,
armor_inspec_006,
armor_inspec_007,"This kimono has been passed down from generation to generation in Massaru's family. It is no longer in as perfect condition as it once was. Massaru still wears it out of respect for his great-grandfather, who was a great emperor in Otsumoshita."
armor_inspec_008,
armor_inspec_009,
armor_inspec_010,
armor_inspec_011,
armor_inspec_012,
armor_inspec_013,
armor_inspec_014,
armor_inspec_015,
armor_inspec_016,
weapon_name_000,Serpent Dagger
weapon_name_001,Rogue Daggers
weapon_name_002,Crystalized Daggers
weapon_name_003,Double Shotel
weapon_name_004,Worn Bastard Sword
weapon_name_005,Templar Straight Sword
weapon_name_006,Runic Straight Sword
weapon_name_007,Double Bastard Sword
weapon_name_008,Divine Sword
weapon_name_009,Congregation Greatsword
weapon_name_010,Ougmeyer
weapon_name_011,Necromancer Blades
weapon_name_012,Cristen
weapon_name_013,Slicer Cleaver
weapon_name_014,Simple Dyed Katana
weapon_name_015,Ronin Katana
weapon_name_016,Engraved Katana
weapon_name_017,Tenebrous Melody Katana
weapon_name_018,Odachi
weapon_name_019,Sawed Katana
weapon_name_020,Daisho
weapon_name_021,Prisioner Axe
weapon_name_022,Storm Axe
weapon_name_023,Bone Axes
weapon_name_024,Carved Club
weapon_name_025,Notched club
weapon_name_026,Hammer of Will
weapon_name_027,Iron Duo
weapon_name_028,Flanged Great Mace
weapon_name_029,Black Shell Hammer
weapon_name_030,Frosty Spear
weapon_name_031,Jumonji Yari
weapon_name_032,Night Halberd
weapon_name_033,Bloody Lightning Halberd
weapon_name_034,Prosthetic Cannon halberd
weapon_name_035,Reaper Scythe
weapon_name_036,Double Blade Scythe
weapon_name_037,Divine Twilight Candlestick
weapon_name_038,Profaned Whip
weapon_name_039,Leather Bomber Whip
weapon_name_040,Icy Breath Whip
weapon_name_041,Monk Fists
weapon_name_042,Caestus
weapon_name_043,Spiked Caestus
weapon_name_044,Explosive Ball
weapon_name_045,Viper Claws
weapon_name_046,Curved Claws
weapon_name_047,Cleaver and Axe
weapon_name_048,Spear and Sword
weapon_name_049,Scythe and Dagger
weapon_name_050,Explorer Bow
weapon_name_051,Burned Bow
weapon_name_052,Golden Bow
weapon_name_053,Arquebus
weapon_name_054,Cannon
weapon_name_055,Laminated Geta
weapon_name_056,Frosty Mist Shield
weapon_name_057,Demon Snake Bone Shield
weapon_name_058,Spiked Wall
weapon_desc_000,A slender dagger with a serpent handle. Causes poison on foes.
weapon_desc_001,"A pair of very sharpened daggers, one straight and the other curved."
weapon_desc_002,A pair of daggers so cold that crystallize itself. Causes freezing on foes.
weapon_desc_003,"A pair of crescent-shaped daggers, very powerful and agile."
weapon_desc_004,"A neither too big nor too small sword, strong and agile."
weapon_desc_005,"A straight sword, balanced between strength and agility."
weapon_desc_006,"A straight sword engraved with runes on its blade, blessed by Meapol."
weapon_desc_007,"A pair of bastard sword, great for consecutives attacks."
weapon_desc_008,A greatsword forged directly by Huozue's blacksmiths. Causes pyromancy.
weapon_desc_009,The greatsword of the warriors of the Darkness Congregation.
weapon_desc_010,The ancient sword. its trully power is as unknown as its creation.
weapon_desc_011,Swords capable of raising the dead.
weapon_desc_012,The frozen sword of ancient legends. They say it's capable of killing a god.
weapon_desc_013,A huge cleaver. Maybe it belonged to a giant butcher.
weapon_desc_014,"A simple and cheap katana, painted black, purple and green."
weapon_desc_015,"A long oriental sword, agile and effective, although it's not very sturdy."
weapon_desc_016,"The sword of a great long haired warrior, engraved with unknown runes."
weapon_desc_017,The sword of an ancient warrior who composed soothing melodies for the soul.
weapon_desc_018,A katana with a huge blade.
weapon_desc_019,A katana with a notched blade. Causes bleeding.
weapon_desc_020,"A katana and a wakizashi together, offensives and agile at the same time."
weapon_desc_021,An axe forged from precarious resources by the desperation of a jailed soul.
weapon_desc_022,"The winded axe of Vuikur, one of the god of the Golden Divinity."
weapon_desc_023,An axe forged from the bones of dead demons.
weapon_desc_024,A wood batt that thickens on the end. Sturdy and strong.
weapon_desc_025,"A wood batt that thickens at the end, with wire and teeth embedded in it."
weapon_desc_026,The hammer given to humans because of their devotion to the gods.
weapon_desc_027,
weapon_desc_028,
weapon_desc_029,
weapon_desc_030,
weapon_desc_031,
weapon_desc_032,
weapon_desc_033,
weapon_desc_034,
weapon_desc_035,
weapon_desc_036,
weapon_desc_037,A red chandelier of unimaginable power.
weapon_desc_038,"A dark whip made with leather, reinforced with spikes."
weapon_desc_039,
weapon_desc_040,
weapon_desc_041,
weapon_desc_042,
weapon_desc_043,
weapon_desc_044,
weapon_desc_045,
weapon_desc_046,
weapon_desc_047,"A set of cleaver and axe, inseparable for bloodthirsty warriors."
weapon_desc_048,
weapon_desc_049,
weapon_desc_050,
weapon_desc_051,
weapon_desc_052,
weapon_desc_053,
weapon_desc_054,
weapon_desc_055,
weapon_desc_056,
weapon_desc_057,
weapon_desc_058,
weapon_inspec_000,
weapon_inspec_001,
weapon_inspec_002,
weapon_inspec_003,
weapon_inspec_004,
weapon_inspec_005,
weapon_inspec_006,
weapon_inspec_007,
weapon_inspec_008,
weapon_inspec_009,
weapon_inspec_010,
weapon_inspec_011,
weapon_inspec_012,
weapon_inspec_013,
weapon_inspec_014,
weapon_inspec_015,
weapon_inspec_016,
weapon_inspec_017,"Its owner, the famous and old Vinsir, together with the warriors of the Congregation of Darkness, battled against the Darkness to bring peace to Earth. He created calm and inspiring melodies to relieve his stress and that of his allies in this eternal war against the Dark. One day, Vinsir and his fellow fought against a great Fingran consumed by the Dark. His allie managed to win the battle and free the great beast's soul, but at the cost of sacrificing Vinsir's life. Today, in the Great Field of Ardiflowers, lies the tomb of the heroic composer."
weapon_inspec_018,
weapon_inspec_019,
weapon_inspec_020,
weapon_inspec_021,
weapon_inspec_022,
weapon_inspec_023,
weapon_inspec_024,
weapon_inspec_025,
weapon_inspec_026,
weapon_inspec_027,
weapon_inspec_028,
weapon_inspec_029,
weapon_inspec_030,
weapon_inspec_031,
weapon_inspec_032,
weapon_inspec_033,
weapon_inspec_034,
weapon_inspec_035,
weapon_inspec_036,
weapon_inspec_037,It is said that this candlestick was forged by a great blacksmith blessed by Huozue.
weapon_inspec_038,
weapon_inspec_039,
weapon_inspec_040,
weapon_inspec_041,
weapon_inspec_042,
weapon_inspec_043,
weapon_inspec_044,
weapon_inspec_045,
weapon_inspec_046,
weapon_inspec_047,
weapon_inspec_048,
weapon_inspec_049,
weapon_inspec_050,
weapon_inspec_051,
weapon_inspec_052,
weapon_inspec_053,
weapon_inspec_054,
weapon_inspec_055,
weapon_inspec_056,
weapon_inspec_057,
weapon_inspec_058,
magic_name_000,Pyromantic Floor
magic_name_001,Pyromantic Combustion
magic_name_002,Fire Ball
magic_name_003,Flaming Wall
magic_name_004,Lightning Bolt
magic_name_005,Poison Spit
magic_name_006,Bloody Chase
magic_name_007,Dark Explosion
magic_name_008,Huoko's Strength
magic_name_009,Explendid Huoko's Strength
magic_name_010,Huoko's Fortitude
magic_name_011,Noctarogar's Blessing
magic_name_012,Kiabass' Blessing
magic_name_013,Feared Entity Darkness
magic_name_014,Night Dart
magic_name_015,Great Night Dart
magic_name_016,Night Spiral
magic_name_017,Great Night Arrow
magic_name_018,Night Orbs
magic_name_019,Night Voids
magic_name_020,Great Night Void
magic_name_021,Night Sword
magic_name_022,Great Night Slash
magic_name_023,Ice Stake
magic_name_024,Ice Crystals
magic_name_025,Ice Orbs
magic_name_026,Ice Explosion
magic_name_027,Ice Bow
magic_name_028,Night Constellation
magic_name_029,Falon's Pyromance
magic_name_030,Falon's Fire
magic_name_031,Falon's Ice
magic_name_032,Falon's Lightnings
magic_name_033,Falon's Blood
magic_desc_000,Spread pyromancy on the ground.
magic_desc_001,Casts a pyromantic explosion.
magic_desc_002,Throws a flaming ball.
magic_desc_003,Throws columns of fire.
magic_desc_004,Throws a lightning bolt.
magic_desc_005,Expels poison from your mouth.
magic_desc_006,Conjures a smoke of blood that chase enemies.
magic_desc_007,Casts orbs of darkness that chase enemies.
magic_desc_008,Increases attack power.
magic_desc_009,Greatly increases attack power.
magic_desc_010,Improve all the damage negations.
magic_desc_011,Gradually restores HP.
magic_desc_012,Increases the damage of magics and decreases their MP cost.
magic_desc_013,"Hits the ground 3 times, exploding everything around with darkness."
magic_desc_014,
magic_desc_015,
magic_desc_016,
magic_desc_017,
magic_desc_018,
magic_desc_019,
magic_desc_020,
magic_desc_021,
magic_desc_022,
magic_desc_023,
magic_desc_024,Throws an ice stake.
magic_desc_025,Throws sharp ice crystals.
magic_desc_026,
magic_desc_027,
magic_desc_028,Imbues night magic on the equipped weapon in the other hand.
magic_desc_029,Imbues pyromancy on the equipped weapon in the other hand.
magic_desc_030,Imbues fire on the equipped weapon in the other hand.
magic_desc_031,Imbues freezing on the equipped weapon in the other hand.
magic_desc_032,Imbues electricity on the equipped weapon in the other hand.
magic_desc_033,Imbues bleeding on the equipped weapon in the other hand.
magic_inspec_000,
magic_inspec_001,
magic_inspec_002,
magic_inspec_003,
magic_inspec_004,
magic_inspec_005,
magic_inspec_006,
magic_inspec_007,
magic_inspec_008,
magic_inspec_009,
magic_inspec_010,
magic_inspec_011,
magic_inspec_012,
magic_inspec_013,
magic_inspec_014,
magic_inspec_015,
magic_inspec_016,
magic_inspec_017,
magic_inspec_018,
magic_inspec_019,
magic_inspec_020,
magic_inspec_021,
magic_inspec_022,
magic_inspec_023,
magic_inspec_024,
magic_inspec_025,
magic_inspec_026,
magic_inspec_027,
magic_inspec_028,
magic_inspec_029,
magic_inspec_030,
